,CPU,MRP
204,Intel Core i9-9980XE Extreme Edition 3 GHz Upto 4.4 GHz LGA 2066 Socket 18 Cores 36 Threads Desktop Processor,"₹79,999"
205,Intel I9-12900KF 5.2 GHz Upto 5.2 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹49,399"
206,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
207,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
208,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
209,amd Ryzen 5 4500 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,099"
210,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
211,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
212,amd Ryzen� 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Cores 12 Threads 6 MB L2 32 MB L3 Desktop Processor,"₹22,790"
213,Intel Core i9-10900X X-series 3.7 GHz LGA 2066 Socket 10 Cores Desktop Processor,"₹63,999"
214,Intel i5 2500 3.7 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,575"
215,GIGASTAR 3.2 GHz LGA 1156 Intel Core i5-650 For H55 Motherboard 1st Generation Processor,₹765
216,Intel Core i5-4670 (4TH Gen) Quad-Core 6MB Cache 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,999"
217,Intel Core i9-10900KF 3.7 GHz Upto 5.3 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹42,999"
218,PROCESSORE 3.2 GHz LGA 1150 I3 6TH 6100T Processor,"₹3,599"
219,Intel I5-11500 4.6 GHz Upto 4.6 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹20,999"
220,wnd 3.06 GHz LGA 775 Intel Core 2 Duo E7600/3.06/3M/1066 MHz Processor,₹410
221,betaohm 2.6 GHz LGA 1155 Intel G620 Processor,₹359
222,Intel Core i3-2120 3.3 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,₹800
223,amd Ryzen 5 3500X 6 Cores & 6 Threads up to 4.1GHz 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 6 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹10,750"
224,amd R7 3700X 3.6 GHz Upto 4.4 GHz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
225,Intel Core i9-10980XE Extreme Edition 3 GHz Upto 4.6 GHz LGA 2066 Socket 18 Cores 36 Threads 25 MB Smart Cache Desktop Processor,"₹87,370"
226,Intel i9-10940X 4.6 GHz Upto 4.6 GHz LGA 2066 Socket 14 Cores 28 Threads Desktop Processor,"₹69,999"
227,wnd 3.06 GHz LGA 1156 Intel Core i3-540 3.06 GHz Processor,₹999
228,Intel i7-11700 2.5 GHz Upto 2.5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,899"
229,Intel I3-10100F LGA1200 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹6,998"
230,Intel Core i7 7700 3.6 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹14,100"
231,wnd 2.93 GHz LGA 775 Intel Core 2 Duo E7500/2.93/3M/1066 MHz Processor,₹399
232,Intel CORE I5 2400 PROCESSOR ( 2ND GENERATION ) 3.1 GHz Upto 3.4 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,289"
233,WDNET 3.4 GHz LGA 1151 INTEL CORE I5 6TH GEN PROCESSOR Processor,"₹6,499"
234,Intel CORE I5 3470 PROCESSOR ( 3RD GENERATION ) 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,209"
235,MULTIHOB 3.2 GHz LGA 1155 i5 3470 3.20Ghz Processor,"₹1,699"
236,KAVTRON 3 GHz LGA 775 intel Core2 Duo E8400 3.0Ghz G31/G35/G41/G45 Motherboard LGA775 6MB Processor Processor,₹699
237,WDNET 3.3 GHz LGA 1155 INTEL CORE I3 4TH GEN PROCESSOR Processor,"₹2,999"
238,amd Ryzen� 9 7900X 3D 4.4 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads 12 MB L2 128 MB L3 Desktop Processor,"₹55,999"
239,Intel I7 4790 4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹6,300"
240,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
241,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
242,processsor Ultra 3.5 GHz LGA 1150 Intel Core i3 4150 3.5Ghz 4th generation Processor,₹760
243,GIGASTAR 3.4 GHz LGA 1155 Intel i5-3570K For H61 Motherboard 3rd Generation Processor,"₹1,890"
244,Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,"₹13,008"
245,amd Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads 3 kB L2 16 kB L3 Desktop Processor,"₹12,499"
246,betaohm 3.4 GHz LGA 1155 Intel Core i5 3570 3rd Generation Processor Excellent Performance Processor Processor,"₹1,630"
247,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
248,GIGASTAR 3.4 GHz LGA 1155 INTEL CORE I5-3570 Processor,"₹1,630"
249,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹7,099"
250,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
251,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
252,Intel Core i3-10100 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹9,599"
253,amd Ryzen 3 3200G with Radeon Vega 8 Graphics (YD3200C5FHBOX) 3.6 Ghz Upto 4 GHz AM4 Socket 4 Cores 4 Threads 2 MB L2 4 MB L3 Desktop Processor,"₹7,916"
254,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,044"
255,amd Ryzen 5 7600X 4.7 GHz Upto 5.3 GHz AM5 Socket 6 Cores 12 Threads Desktop Processor,"₹23,890"
256,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
257,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
258,processsor Ultra 3.4 GHz LGA 1155 Core i3 3240 Processor 3rd generation For H61 Motherboard (refurbished) Processor,₹790
259,Intel i5-13600K 2.6 GHz LGA1700 Socket 6 Cores Desktop Processor,"₹28,900"
260,Intel i5 3570 3.4 GHz Upto 4 GHz LGA 1155 Socket 4 Cores 4 Threads 8 MB Smart Cache Desktop Processor,"₹3,339"
261,betaohm 3.7 GHz LGA 1151 Intel Core i3-6100 6th Generation 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads 3 MB Processor,"₹1,940"
262,Intel i3-12100F 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹8,626"
263,amd Ryzen 7 5700G 3.8 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads 4 kB L2 16 kB L3 Desktop Processor,"₹18,699"
264,Intel I7 3770 3.9 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,790"
265,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,495"
266,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,949"
267,amd Ryzen 7 5800X 3.8 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹23,499"
268,Intel Core i5-2500K 3.3 GHz Upto 3.7 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,300"
269,amd Ryzen 5 5600 3.5 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹15,799"
270,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,496"
271,Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,397"
272,amd Ryzen 5 5500 3.6 GHz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,796"
273,Intel i5 4570 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,148"
274,Intel i7-12700F 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 Cores 20 Threads Desktop Processor,"₹27,399"
275,Intel I7-11700F 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,518"
276,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,790"
277,Intel Core i3 10th Gen 10100f 3.6 GHz LGA 1200 Socket 4 Cores Desktop Processor,"₹7,940"
278,processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generation Support H61 Motherboards Processor,₹466
279,Intel I5-4590(4Th Gen) 6 MB Cache 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,372"
280,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
281,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
282,wnd 3.4 GHz LGA 1155 Intel Core i5-2400 Processor,₹999
283,Intel i5-12600K 4.9 GHz Upto 4.9 GHz LGA1700 Socket 10 Cores 16 Threads Desktop Processor,"₹27,499"
284,Intel i3-10105 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹9,999"
285,Intel Core i3-3240 3.4 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,699"
286,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
287,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
288,Intel i9-12900 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹47,999"
289,Intel core I5 3rd Gen 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,500"
290,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
291,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
292,Intel i5 650 LGA 1156 3.2 GHz LGA 1156 Socket 2 Cores Desktop Processor,"₹1,900"
293,GIGASTAR 3.4 GHz LGA 1155 Intel i3 (3240) 3rd Gen Processor for H61 Chipset Processor,₹800
294,Intel Core i9-10850K 3.6 GHz Upto 5.2 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹37,957"
295,Intel i3 (3220) 3rd Generation Processor for H61 Motherboards 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,709"
296,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
297,amd RYZEN 5 5600 SERIES 5000 3.5 GHz AM4 Socket 6 Cores 3 MB L2 32 MB L3 Desktop Processor,"₹18,999"
298,amd Ryzen 9 7950X 4.5 GHz Upto 5.7 GHz AM5 Socket 16 Cores 32 Threads Desktop Processor,"₹60,999"
299,"Intel i5-4590S (4TH Gen) 6MB Cache, 3 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,660"
300,amd Ryzen 7 5700X 3.4 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹19,656"
301,PROCESSORE 3.1 GHz LGA 1155 intel core i5 2400 2nd gen Processor,"₹1,015"
302,Teratech 2200 GHz LGA 775 Heatsink Processor,₹349
303,amd Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cores 16 Threads Desktop Processor,"₹32,990"
304,"Intel i5-4460 ( 4Th Generation ) 6 MB Smart Cache, 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,150"
305,"Intel i5-4590T (4TH Gen) 6MB Cache, 2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,900"
306,Intel Core i5 3470 3.6 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,700"
307,Intel Pentium Gold G6400 4 GHz LGA 1200 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹6,399"
308,Intel I7 4770 3.4 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹6,150"
309,Intel Core i5-4570S (4TH Gen) Quad-Core 6MB Cache 2.9 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,800"
310,Intel Core i7-10700K 3.8 GHz Upto 5.1 GHz LGA 1200 Socket 8 Cores 16 Threads 16 MB Smart Cache Desktop Processor,"₹28,499"
311,Intel CORE I5 4590 ( 4TH GENERATION ) PROCESSOR 3.3 GHz Upto 3.7 GHz LGA 1150 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,100"
312,Intel Core i5-10600K 4.1 GHz Upto 4.8 GHz LGA 1200 Socket 6 Cores 12 Threads 12 MB Smart Cache Desktop Processor,"₹22,499"
313,Intel Core(TM) i7-10700F 2.9 GHz LGA 1200 Socket 8 Cores Desktop Processor,"₹24,999"
314,Intel i9-12900F 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹46,999"
315,Refurb 3.2 GHz LGA 1150 Corei5 4th Processor,"₹1,990"
316,Intel Core i5-3470 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,734"
317,Intel I7-11700K 5 Ghz Upto 5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹30,999"
318,suryaasys 3.7 GHz LGA 1150 core i5 4590 Processor,"₹2,400"
319,amd Ryzen 9 7900X 4.7 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads Desktop Processor,"₹44,390"
320,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
321,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
322,Intel 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,800"
323,Intel G6405 4.1 GHz Upto 4.1 GHz LGA 1200 Socket 2 Cores 4 Threads Desktop Processor,"₹5,499"
324,Intel Core i9-9980XE Extreme Edition 3 GHz Upto 4.4 GHz LGA 2066 Socket 18 Cores 36 Threads Desktop Processor,"₹79,999"
325,Intel I9-12900KF 5.2 GHz Upto 5.2 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹49,399"
326,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
327,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
328,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
329,amd Ryzen 5 4500 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,099"
330,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
331,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
332,amd Ryzen� 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Cores 12 Threads 6 MB L2 32 MB L3 Desktop Processor,"₹22,790"
333,Intel Core i9-10900X X-series 3.7 GHz LGA 2066 Socket 10 Cores Desktop Processor,"₹63,999"
334,Intel i5 2500 3.7 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,575"
335,GIGASTAR 3.2 GHz LGA 1156 Intel Core i5-650 For H55 Motherboard 1st Generation Processor,₹765
336,Intel Core i5-4670 (4TH Gen) Quad-Core 6MB Cache 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,999"
337,Intel Core i9-10900KF 3.7 GHz Upto 5.3 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹42,999"
338,PROCESSORE 3.2 GHz LGA 1150 I3 6TH 6100T Processor,"₹3,599"
339,Intel I5-11500 4.6 GHz Upto 4.6 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹20,999"
340,wnd 3.06 GHz LGA 775 Intel Core 2 Duo E7600/3.06/3M/1066 MHz Processor,₹410
341,betaohm 2.6 GHz LGA 1155 Intel G620 Processor,₹359
342,Intel Core i3-2120 3.3 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,₹800
343,amd Ryzen 5 3500X 6 Cores & 6 Threads up to 4.1GHz 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 6 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹10,750"
344,amd R7 3700X 3.6 GHz Upto 4.4 GHz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
345,Intel Core i9-10980XE Extreme Edition 3 GHz Upto 4.6 GHz LGA 2066 Socket 18 Cores 36 Threads 25 MB Smart Cache Desktop Processor,"₹87,370"
346,Intel i9-10940X 4.6 GHz Upto 4.6 GHz LGA 2066 Socket 14 Cores 28 Threads Desktop Processor,"₹69,999"
347,wnd 3.06 GHz LGA 1156 Intel Core i3-540 3.06 GHz Processor,₹999
348,Intel i7-11700 2.5 GHz Upto 2.5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,899"
349,Intel I3-10100F LGA1200 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹6,998"
350,Intel Core i7 7700 3.6 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹14,100"
351,wnd 2.93 GHz LGA 775 Intel Core 2 Duo E7500/2.93/3M/1066 MHz Processor,₹399
352,Intel CORE I5 2400 PROCESSOR ( 2ND GENERATION ) 3.1 GHz Upto 3.4 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,289"
353,WDNET 3.4 GHz LGA 1151 INTEL CORE I5 6TH GEN PROCESSOR Processor,"₹6,499"
354,Intel CORE I5 3470 PROCESSOR ( 3RD GENERATION ) 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,209"
355,MULTIHOB 3.2 GHz LGA 1155 i5 3470 3.20Ghz Processor,"₹1,699"
356,KAVTRON 3 GHz LGA 775 intel Core2 Duo E8400 3.0Ghz G31/G35/G41/G45 Motherboard LGA775 6MB Processor Processor,₹699
357,WDNET 3.3 GHz LGA 1155 INTEL CORE I3 4TH GEN PROCESSOR Processor,"₹2,999"
358,amd Ryzen� 9 7900X 3D 4.4 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads 12 MB L2 128 MB L3 Desktop Processor,"₹55,999"
359,Intel I7 4790 4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹6,300"
360,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
361,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
362,amd Ryzen� 9 7900X 3D 4.4 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads 12 MB L2 128 MB L3 Desktop Processor,"₹55,999"
363,Intel I7 4790 4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹6,300"
364,"Intel i5-4670 ( 4Th Generation ) 6 MB Smart Cache, 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,950"
365,Intel Core i3-540 3.06 GHz LGA 1156 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹1,350"
366,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
367,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
368,Intel Core i5 3570 Best Performance 3rd Generation 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,382"
369,Gigatech 4 GHz LGA 1151 core i7 6th generation (OEM Tray) Desktop processor Processor,"₹11,316"
370,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
371,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
372,"Intel Core 2 Duo (E8400) 6M Cache , 3 GHz LGA 775 Socket 2 Cores Desktop Processor","₹1,800"
373,Intel I7-11700 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹29,999"
374,Intel I5 6500 3.2 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹5,200"
375,Intel Core i3 2120 2nd Generation 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,249"
376,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
377,KAVTRON 3.4 GHz LGA 1155 3rd Gen Processor in-tel Core i3-3240 3.4Ghz for H71 or H61 Motherboard LGA-1155 Processor,"₹2,249"
378,Intel i5-11400 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹14,818"
379,Intel i5-11400F 4.4 GHz Upto 2.6 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹13,000"
380,betaohm 3.2 GHz LGA 1151 Intel Core I5-6500 3.2 GHz 4 Cores 4 Threads 6 MB Smart Cache Processor,"₹5,180"
381,OCTA 2.93 GHz LGA 775 E7500 Processor,₹650
382,Intel 6100 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads Desktop Processor,"₹2,600"
383,Intel 3570 processor 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,889"
384,"Intel i5-4690(4Th Generation ) 6 MB Smart Cache, 3.5 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,299"
385,TAJ PC 3.4 GHz LGA 1155 I5 3570 3rd generation Processor,"₹2,199"
386,Intel Core i3 2100 3.1 GHz LGA 1155 Socket 2 Cores Desktop Processor,₹900
387,Etake 3.6 GHz LGA 775 CPU Fan Cooler and Heat-Sink Cooling Fan 12V DC Processor,₹349
388,GIGASTAR 3.2 GHz LGA 1151 INTEL CORE I3 6100T Processor,"₹6,750"
389,Intel 2400 3.1 GHz LGA 1155 Socket 8 Cores Desktop Processor,"₹2,298"
390,wnd 3.4 GHz LGA 1155 Intel Core i5 3570 Best Performance 3rd Generation Processor,"₹2,180"
391,Intel i9-10920X 4.6 GHz Upto 4.6 GHz LGA 2066 Socket 12 Cores 24 Threads Desktop Processor,"₹60,999"
392,22 TECH 2.93 GHz LGA 775 INTEL 2.93 Core Two Duo High Speed Processor Processor,₹699
393,suryaasys 3.6 GHz LGA 1151 I3 8100 Processor,"₹5,000"
394,Intel e-7500 2.93 GHz Upto 2.93 GHz LGA 775 Socket 2 Cores 2 Threads 3 MB Smart Cache Desktop Processor,"₹1,150"
395,Intel I5 2500 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,869"
396,aby 3.3 GHz LGA 1156 INTEL CORE I5 4590 Processor,"₹3,449"
397,Intel I3-3220 3.3 GHz LGA 775 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,998"
398,wnd 3.2 GHz LGA 1156 Intel Core i5-650 For H55 Motherboard 1st Generation Processor (Silver) Processor,"₹1,100"
399,Intel i3-12100 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹12,999"
400,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
401,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
402,processsor Ultra 3.5 GHz LGA 1150 Intel Core i3 4150 3.5Ghz 4th generation Processor,₹760
403,GIGASTAR 3.4 GHz LGA 1155 Intel i5-3570K For H61 Motherboard 3rd Generation Processor,"₹1,890"
404,Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,"₹13,008"
405,amd Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads 3 kB L2 16 kB L3 Desktop Processor,"₹12,499"
406,betaohm 3.4 GHz LGA 1155 Intel Core i5 3570 3rd Generation Processor Excellent Performance Processor Processor,"₹1,630"
407,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
408,GIGASTAR 3.4 GHz LGA 1155 INTEL CORE I5-3570 Processor,"₹1,630"
409,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹7,099"
